CourseId,Type,Identifier,Topic Name,Topic Link,Entity Type
40355,Lecture,2,8.3,No link available,CARDINAL
40355,Lecture,2,Slides Credit,No link available,ORG
40355,Lecture,2,Hoifung Poon,No link available,PERSON
40355,Lecture,2,Chris Quirk &,No link available,ORG
40355,Lecture,2,Scott Wen-Tau Yih,No link available,PERSON
40355,Lecture,2,https://www.microsoft.com/en-us/research/upl,No link available,ORG
40355,Lecture,2,• Includes,No link available,PRODUCT
40355,Lecture,2,Matthew Honnibal & Ines Montani,No link available,ORG
40355,Lecture,2,8.4,No link available,CARDINAL
40355,Lecture,2,• We,No link available,PRODUCT
40355,Lecture,2,"Information
Retrieval",No link available,ORG
40355,Lecture,2,IR,No link available,ORG
40355,Lecture,2,•,No link available,PRODUCT
40355,Lecture,2,8.5,No link available,CARDINAL
40355,Lecture,2,1.0,No link available,CARDINAL
40355,Lecture,2,DocumentsKnowledge,No link available,PRODUCT
40355,Lecture,2,Tumor Board KB Curation,No link available,ORG
40355,Lecture,2,21,No link available,CARDINAL
40355,Lecture,2,exon-19,No link available,PERSON
40355,Lecture,2,EGFR,No link available,ORG
40355,Lecture,2,16,No link available,CARDINAL
40355,Lecture,2,exon-21,No link available,DATE
40355,Lecture,2,10,No link available,CARDINAL
40355,Lecture,2,Gefitinib,No link available,PERSON
40355,Lecture,2,w. EGFR-L858E,No link available,PERSON
40355,Lecture,2,PubMed,No link available,ORG
40355,Lecture,2,27 million,No link available,CARDINAL
40355,Lecture,2,Two,No link available,CARDINAL
40355,Lecture,2,every minute,No link available,TIME
40355,Lecture,2,one million,No link available,CARDINAL
40355,Lecture,2,23,No link available,CARDINAL
40355,Lecture,2,SMAD3,No link available,PRODUCT
40355,Lecture,2,JUN,No link available,PERSON
40355,Lecture,2,123,No link available,CARDINAL
40355,Lecture,2,456,No link available,CARDINAL
40355,Lecture,2,29,No link available,CARDINAL
40355,Lecture,2,8.9,No link available,CARDINAL
40355,Lecture,2,8.10,No link available,CARDINAL
40355,Lecture,2,8.11,No link available,CARDINAL
40355,Lecture,2,8.12,No link available,CARDINAL
40355,Lecture,2,8.13,No link available,CARDINAL
